Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_category_basedmarkersize10_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,10,1.0,0.5144059658050537,1.0,1.3588511943817139,1.0,0.711174488067627,1.0,0.49706506729125977,1.0,0.5049500465393066,1.0,0.5745978355407715,1.0,0.42710304260253906,1.0,0.4420473575592041,1.0,0.5368928909301758,1.0,1.2190709114074707,1.0,0.5392928123474121,1.0,0.48757147789001465,1.0,0.34250783920288086,0,0.1776113510131836,0.0,0.17055726051330566,0.025177734021400496,0.02799701690673828,20.196573598004523,0.002000570297241211,0.0,1.9133021831512451,0,0,[]
figure_category_basedmarkersize20_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,20,1.0,0.451918363571167,1.0,0.6007254123687744,1.0,0.8404901027679443,1.0,0.5981214046478271,1.0,0.4726548194885254,1.0,0.5478813648223877,1.0,0.5402581691741943,1.0,0.4771718978881836,1.0,0.5693023204803467,1.0,1.1616380214691162,1.0,0.4992985725402832,1.0,0.5853755474090576,1.0,0.19648146629333496,0,0.305621862411499,0.0,0.3111088275909424,0.025177734021400496,0.023997068405151367,20.196573598004523,0.0019736289978027344,0.0,1.925729513168335,0,0,[]
figure_category_basedmarkersize50_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,50,1.0,0.52388596534729,1.0,0.5567779541015625,1.0,0.8060135841369629,1.0,0.5019111633300781,1.0,0.4928562641143799,1.0,0.7241568565368652,1.0,0.597280740737915,1.0,0.49082255363464355,1.0,0.5977213382720947,1.0,1.0858817100524902,1.0,0.6143572330474854,1.0,0.5191192626953125,1.0,0.211259126663208,0,0.3383152484893799,0.0,0.20728087425231934,0.025177734021400496,0.024528026580810547,20.196573598004523,0.0019996166229248047,0.0,2.1219818592071533,0,0,[]
figure_ascendingmarkersize10_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,10,1.0,0.5114283561706543,1.0,0.5613753795623779,1.0,0.9172611236572266,1.0,0.512958288192749,1.0,0.39212822914123535,1.0,0.8411662578582764,1.0,0.39534735679626465,1.0,0.603208065032959,1.0,0.5147099494934082,1.0,1.0936212539672852,1.0,0.6437273025512695,1.0,0.4078490734100342,1.0,0.34339046478271484,0,0.22106027603149414,0.0,0.3605196475982666,0.025177734021400493,0.02435469627380371,20.196573598004523,0.003016948699951172,0.0,1.8868837356567383,0,0,[]
figure_ascendingmarkersize20_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,20,1.0,0.413769006729126,1.0,0.6155405044555664,1.0,0.8206276893615723,1.0,0.5321216583251953,1.0,0.8020679950714111,1.0,0.41155433654785156,1.0,0.5273504257202148,1.0,0.6393122673034668,1.0,0.4253652095794678,1.0,1.2131953239440918,1.0,0.5123569965362549,1.0,0.636709451675415,1.0,0.22064828872680664,0,0.21550869941711426,0.0,0.3562138080596924,0.025177734021400493,0.02567005157470703,20.196573598004523,0.0020666122436523438,0.0,1.8961455821990967,0,0,[]
figure_ascendingmarkersize50_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,50,1.0,0.41903066635131836,1.0,0.6105105876922607,1.0,0.9779834747314453,1.0,0.4118521213531494,1.0,0.6554336547851562,1.0,0.5799434185028076,1.0,0.4042494297027588,1.0,0.5357174873352051,1.0,0.5234408378601074,1.0,1.2275888919830322,1.0,0.5481173992156982,1.0,0.5644502639770508,1.0,0.23827362060546875,0,0.2308816909790039,0.0,0.3715071678161621,0.025177734021400493,0.024576902389526367,20.196573598004523,0.0021080970764160156,0.0,2.039893627166748,0,0,[]
figure_descendingmarkersize10_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,10,1.0,0.4187920093536377,1.0,0.6270475387573242,1.0,0.8826644420623779,1.0,0.41307640075683594,1.0,0.5511264801025391,1.0,0.6706516742706299,1.0,0.6155974864959717,1.0,0.5952425003051758,1.0,0.42890167236328125,1.0,1.2459452152252197,1.0,0.42180800437927246,1.0,0.5768702030181885,1.0,0.24127864837646484,0,0.247117280960083,0.0,0.4055192470550537,0.025177734021400496,0.024441003799438477,20.19657359800453,0.002087116241455078,0.0,1.9087653160095215,0,0,[]
figure_descendingmarkersize20_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,20,1.0,0.4478936195373535,1.0,0.514739990234375,1.0,0.8891525268554688,1.0,0.4512035846710205,1.0,0.7910163402557373,1.0,0.5920143127441406,1.0,0.43888378143310547,1.0,0.5992321968078613,1.0,0.6281235218048096,1.0,1.1056950092315674,1.0,0.47856974601745605,1.0,0.6390113830566406,1.0,0.2696266174316406,0,0.4558689594268799,0.0,0.2837214469909668,0.025177734021400496,0.02506852149963379,20.19657359800453,0.0020551681518554688,0.0,1.9017994403839111,0,0,[]
figure_descendingmarkersize50_bbdm13_TSNE_2,bbdm13_TSNE_2,200,5,50,1.0,0.46596765518188477,1.0,0.7196640968322754,1.0,0.7419474124908447,1.0,0.4685847759246826,1.0,0.7979321479797363,1.0,0.6588597297668457,1.0,0.46927690505981445,1.0,0.4731788635253906,1.0,0.650604248046875,1.0,1.112055778503418,1.0,0.780935525894165,1.0,0.4575333595275879,1.0,0.4603312015533447,0,0.09452700614929199,0.0,0.44495344161987305,0.025177734021400496,0.025668621063232422,20.19657359800453,0.0021698474884033203,0.0,2.069110870361328,0,0,[]
figure_category_basedmarkersize10_boston_TSNE_2,boston_TSNE_2,155,3,10,1.0,0.4831690788269043,1.0,0.4787156581878662,1.0,0.6503415107727051,1.0,0.7432389259338379,1.0,0.4926903247833252,1.0,0.6268994808197021,1.0,0.4326910972595215,1.0,0.6201221942901611,1.0,0.44697141647338867,1.0,0.9493725299835205,1.0,0.6218390464782715,1.0,0.435589075088501,1.0,0.484982967376709,0,0.27297544479370117,0.0,0.09284138679504395,0.02513595379802095,0.016885757446289062,30.881151530888783,0.0019991397857666016,0.0,1.4455337524414062,0,0,[]
