ScatterplotName,DatasetName,TotalPoints,NumClasses,MarkerSize,M_Dist_10_0,M_Dist_10_0_time,LOF_Dist_10_0,LOF_Dist_10_0_time,IsolationForest_Dist_10_0,IsolationForest_Dist_10_0_time,Centroid_Dist_10_0,Centroid_Dist_10_0_time,AvgLinkage_Dist_10_0,AvgLinkage_Dist_10_0_time,M_Dist_10_5,M_Dist_10_5_time,LOF_Dist_10_5,LOF_Dist_10_5_time,IsolationForest_Dist_10_5,IsolationForest_Dist_10_5_time,Centroid_Dist_10_5,Centroid_Dist_10_5_time,AvgLinkage_Dist_10_5,AvgLinkage_Dist_10_5_time,M_Dist_10_10,M_Dist_10_10_time,LOF_Dist_10_10,LOF_Dist_10_10_time,IsolationForest_Dist_10_10,IsolationForest_Dist_10_10_time,Centroid_Dist_10_10,Centroid_Dist_10_10_time,AvgLinkage_Dist_10_10,AvgLinkage_Dist_10_10_time,VisibilityIndex,VisibilityIndex_time,MPix,MPix_time,GridOverlap,GridOverlap_time,KDEOverlap,KDEOverlap_time,NNDistance,NNDistance_time,PBBOverlap,PBBOverlap_time,DistanceConsistency,DistanceConsistency_time,CoveredValsDiffClasses,CoveredPixelsDiffClasses,CoveredPixelsDiffClassesGeneralMethod,Shape,ClusterCorrelation
figure_category_based_markersize60_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,60,0.7937956121546661,0.4018032550811767,0.8187664009154041,1.5105764865875244,0.9718220279012184,0.8508789539337158,0.7913032690394243,1.5019490718841553,0.826436551390591,1.4975788593292236,0.4706065133537592,0.4018280506134033,0.4702148890357136,1.5101039409637451,0.4803003845603558,1.9283933639526367,0.4698596152933788,0.4076790809631347,0.4732019613627835,1.534836769104004,0.3344409119369548,0.4087734222412109,0.3298125970077461,1.4767391681671145,0.3189725714459028,1.9621355533599851,0.3341293891341882,0.393190860748291,0.3315088276125096,1.4823429584503174,1.0,1.4367656707763672,11671,0.1522319316864013,0.0,1.291421890258789,0.0303795589546178,0.0800108909606933,7.389902403027343,0.0073428153991699,-,15.0,0.0718390804597701,0.0042090415954589,0,0,463,['cluster'],['touching']
figure_category_based_markersize110_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,110,0.6288369814763819,0.4478681087493896,0.666874537342163,1.6030807495117188,0.919087558774808,0.905665159225464,0.6278371982215841,1.5711073875427246,0.676423894233567,0.4545550346374511,0.2984089170383863,1.5871813297271729,0.2974613210669452,1.4097609519958496,0.3014563426190327,0.8649258613586426,0.298435837043874,1.423253059387207,0.3002886354355273,1.5741395950317385,0.1956190975948537,0.4482316970825195,0.1914230677447036,1.622504711151123,0.1802963421380853,0.8991460800170898,0.195739210397174,1.592642307281494,0.1929795656523055,1.6185462474822998,0.978448275862069,0.2868502140045166,38176,1.3638761043548584,0.0,0.1332476139068603,0.0303795589546178,0.0795717239379882,7.389902403027343,0.0072765350341796,-,15.0,0.0718390804597701,0.0043892860412597,0,0,1419,['cluster'],['touching']
figure_category_based_markersize160_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,160,0.5265886102743671,0.49934983253479,0.5660624527789488,0.5209290981292725,0.8576487672436691,2.093459129333496,0.525230594312281,1.6623449325561523,0.5757067335095628,0.5048015117645264,0.2345534640017667,1.6740422248840332,0.233007148935843,1.67651629447937,0.2357415312392646,0.95237135887146,0.2340275263577766,1.677558422088623,0.2357709240034304,0.510216474533081,0.150879059709579,1.6646475791931152,0.1466955771590834,1.707899570465088,0.1366514232726855,0.9416289329528807,0.1505553022067413,1.6900618076324463,0.1482400632756785,0.5018494129180908,0.9066091954022988,1.4980366230010986,63471,0.1766877174377441,0.0,1.36150860786438,0.0303795589546178,0.0803339481353759,7.389902403027343,0.0071728229522705,-,15.0,0.0718390804597701,0.0046179294586181,0,0,2573,['cluster'],['touching']
figure_ascending_markersize10_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,10,0.9924690686954658,1.612619400024414,0.9943910506985356,0.3507449626922607,0.99615501015812,1.974790334701538,0.9934169955364212,1.5548250675201416,0.9939189110101536,0.3407931327819824,0.9175719356541522,1.5639030933380127,0.9138074176302332,0.3503093719482422,0.9002574685409103,1.9862382411956787,0.915809608654804,1.5668978691101074,0.912114892223722,0.3473196029663086,0.8531858728128892,1.5753746032714844,0.8453054121882335,0.3665890693664551,0.8212022271834714,2.018333196640014,0.8494492234240645,0.3589954376220703,0.8427525483412104,1.5549895763397217,1.0,1.3924157619476318,210,0.1320307254791259,0.0,1.3935306072235107,0.0303795589546177,0.0800440311431884,7.389902403027343,0.0071785449981689,-,15.0,0.0718390804597701,0.0041549205780029,0,0,0,['cluster'],['touching']
figure_ascending_markersize60_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,60,0.8514058572057184,1.7019784450531006,0.8705617083489496,0.4024190902709961,0.8919653667312979,2.08723258972168,0.8521309668538122,0.3999040126800537,0.8630766397820967,1.6184861660003662,0.4988621998991173,1.650649070739746,0.4899903279910818,0.3965096473693847,0.4487776401405549,2.122019529342652,0.4986984485482834,0.4004015922546386,0.4887124578159438,1.633044719696045,0.3527840609701078,0.3998157978057861,0.340944397411218,1.6304523944854736,0.2998113956900541,2.1113979816436768,0.352496070394645,0.4011580944061279,0.3408618000136117,1.640510320663452,1.0,0.2653248310089111,11671,1.4340403079986572,0.0,0.1335258483886718,0.0303795589546177,0.0812156200408935,7.389902403027343,0.007087230682373,-,15.0,0.0718390804597701,0.0040400028228759,0,0,0,['cluster'],['touching']
figure_ascending_markersize110_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,110,0.7117701036200619,1.7444772720336914,0.7425150245067469,0.4611237049102783,0.7674045885977496,2.185344934463501,0.7135138842578927,0.4574894905090332,0.7302792948310401,1.7361335754394531,0.328900399884672,1.746791124343872,0.3169625847110573,0.4553701877593994,0.2699381169838561,2.209764003753662,0.3285823255637303,0.4628279209136963,0.3164399983482796,1.732388973236084,0.2138616466654536,0.4644107818603515,0.2014862056747691,1.739954710006714,0.1637730169715358,0.8984179496765137,0.2134362274574059,1.7500879764556885,0.2019804420665413,1.7502944469451904,0.978448275862069,0.2872099876403808,38176,1.501152753829956,0.0,0.1404445171356201,0.0303795589546177,0.0811648368835449,7.389902403027343,0.0074634552001953,-,15.0,0.0718390804597701,0.0041015148162841,0,0,0,['cluster'],['touching']
figure_ascending_markersize160_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,160,0.6160926982351848,0.8420743942260742,0.6490215613551638,0.8151388168334961,0.6642131317089179,1.3015646934509275,0.6171534261985896,0.9110724925994872,0.6346522074000083,0.7884318828582764,0.2656752883633396,0.8856260776519775,0.2524397409624236,0.8063344955444336,0.2040734256303183,1.3688313961029053,0.2643611249053448,0.9373557567596436,0.2521674689233151,0.8038394451141357,0.1693521918593895,1.0013587474822998,0.1566930995896776,0.9550349712371826,0.1205566834368609,1.3246409893035889,0.1682067041121335,0.8756382465362549,0.1573422747403149,0.845893383026123,0.9066091954022988,0.5921635627746582,63471,0.4643635749816894,0.0,0.4301433563232422,0.0303795589546177,0.0828227996826171,7.389902403027343,0.0073592662811279,-,15.0,0.0718390804597701,0.0042243003845214,0,0,0,['cluster'],['touching']
figure_descending_markersize10_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,10,0.9906155214342628,0.6285483837127686,0.9921037933817264,0.7422881126403809,0.9971476649026432,1.1957998275756836,0.9922899901800932,0.8768093585968018,0.9937740335485002,0.7508747577667236,0.9141735449510586,0.7885956764221191,0.911343705606638,0.7789173126220703,0.9046240052671972,1.2528836727142334,0.9132282232922366,0.7775428295135498,0.9113270383692874,0.918921947479248,0.8486838850582217,0.8016278743743896,0.8427420880568822,0.675067663192749,0.8278126570408171,1.2578685283660889,0.8458353838919062,0.9697649478912354,0.8415122197274854,0.6489222049713135,1.0,0.5104076862335205,210,0.5263979434967041,0.0,0.5062320232391357,0.0303795589546177,0.0828974246978759,7.389902403027343,0.0075974464416503,-,15.0,0.0718390804597701,0.0043413639068603,0,0,6,['cluster'],['touching']
figure_descending_markersize60_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,60,0.7579693770944723,0.5918526649475098,0.7913900746584669,1.0758163928985596,1.0300051917702884,1.207591533660889,0.7560787780686984,0.9284319877624512,0.8007819915530692,0.7504348754882812,0.449994086205179,0.9306375980377196,0.4589084776095611,0.9412367343902588,0.5057913884627963,1.2191364765167236,0.4502590767688467,0.95367693901062,0.461572035463194,0.7593677043914795,0.3199807151925489,0.9573748111724854,0.3231468712127088,0.9505674839019777,0.3351958493103523,1.245537519454956,0.3205874565148344,0.9889662265777588,0.3242291093087538,0.7945747375488281,1.0,0.7084107398986816,11671,0.3725333213806152,0.0,0.5736875534057617,0.0303795589546177,0.0809113979339599,7.389902403027343,0.0073671340942382,-,15.0,0.0718390804597701,0.0042324066162109,0,0,871,['cluster'],['touching']
figure_descending_markersize110_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,110,0.5687730733309388,1.0853140354156494,0.6196361725417499,0.878093957901001,1.059004169462512,1.5305638313293457,0.5660078678983,0.8768806457519531,0.6289093128944556,0.8939111232757568,0.2730875880421201,1.1052570343017578,0.2836970633855213,0.8838238716125488,0.3303544998725027,1.3335797786712646,0.2739343846725925,1.1032745838165283,0.2853024227087741,0.8873622417449951,0.1796787887521764,1.1384215354919434,0.1839613956999616,0.9062042236328124,0.1957016426351842,1.5921897888183594,0.1806926776924703,0.927588701248169,0.1845001143061775,1.0298762321472168,0.978448275862069,0.729888916015625,38176,0.3875718116760254,0.0,0.3493993282318115,0.0303795589546177,0.0787105560302734,7.389902403027343,0.0071156024932861,-,15.0,0.0718390804597701,0.0041055679321289,0,0,3351,['cluster'],['touching']
