ScatterplotName,DatasetName,TotalPoints,NumClasses,MarkerSize,M_Dist_10_0,M_Dist_10_0_time,LOF_Dist_10_0,LOF_Dist_10_0_time,IsolationForest_Dist_10_0,IsolationForest_Dist_10_0_time,Centroid_Dist_10_0,Centroid_Dist_10_0_time,AvgLinkage_Dist_10_0,AvgLinkage_Dist_10_0_time,M_Dist_10_5,M_Dist_10_5_time,LOF_Dist_10_5,LOF_Dist_10_5_time,IsolationForest_Dist_10_5,IsolationForest_Dist_10_5_time,Centroid_Dist_10_5,Centroid_Dist_10_5_time,AvgLinkage_Dist_10_5,AvgLinkage_Dist_10_5_time,M_Dist_10_10,M_Dist_10_10_time,LOF_Dist_10_10,LOF_Dist_10_10_time,IsolationForest_Dist_10_10,IsolationForest_Dist_10_10_time,Centroid_Dist_10_10,Centroid_Dist_10_10_time,AvgLinkage_Dist_10_10,AvgLinkage_Dist_10_10_time,VisibilityIndex,VisibilityIndex_time,MPix,MPix_time,GridOverlap,GridOverlap_time,KDEOverlap,KDEOverlap_time,NNDistance,NNDistance_time,PBBOverlap,PBBOverlap_time,CoveredVals,CoveredValsDiffClasses,CoveredPixels,CoveredPixelsDiffClasses,CoveredValuesDiffJSON
figure_category_based_markersize160_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,160,0.7854560478289625,1.1108977794647217,0.816520702731479,1.1214888095855713,0.9199876519022281,1.4680993556976318,0.7706184046377997,0.2830846309661865,0.7927724630869653,1.0975360870361328,0.7236930235386276,1.107548475265503,0.7378071802304897,1.1165270805358887,0.7837035421976659,0.6389772891998291,0.718649139099323,1.0999882221221924,0.7265251816558482,1.0991621017456055,0.670935158114573,1.1316773891448975,0.6729354400248653,0.296475887298584,0.682587197519239,1.487614631652832,0.6732464795495497,1.1418488025665283,0.6704958313608171,1.1377651691436768,1.0,0.11353421211242676,1285,0.9848372936248779,0.0,0.9890620708465576,0.03015221221950021,0.01050710678100586,26.864844195405976,0.0016460418701171875,0.021192639235793093,0.7088584899902344,0,0,1285,547,[]
figure_ascending_markersize10_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,10,0.9893781436322252,1.150573492050171,0.9879283340431304,0.27832579612731934,0.9924967168185799,1.4681568145751953,0.9858442617691313,1.1400322914123535,0.9860257537688119,1.1687772274017334,0.9893781436322252,0.27403712272644043,0.9879283340431304,1.1644532680511475,0.9924967168185799,1.4957733154296875,0.9858442617691313,0.2672140598297119,0.9860257537688119,1.134791612625122,0.9893781436322252,1.1524684429168701,0.9879283340431304,1.1504688262939453,0.9924967168185799,0.6183884143829346,0.9858442617691313,1.1337120532989502,0.9860257537688119,1.1448616981506348,1.0,0.09810280799865723,2,0.9838829040527344,0.0,0.09616589546203613,0.03015221221950021,0.010486364364624023,26.864844195405976,0.0015032291412353516,0.003553345272593507,1.3538732528686523,0,0,2,2,[]
figure_ascending_markersize60_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,60,0.9206668398780254,0.5873410701751709,0.917915957563536,0.5555641651153564,0.9510253735311718,0.8845005035400391,0.8997998332961418,0.545255184173584,0.9024165930479475,0.44480013847351074,0.885314724538425,0.4730813503265381,0.8729055985874781,0.5557773113250732,0.8777200132881313,0.9052977561950684,0.8717184497042907,0.5084693431854248,0.8652380824847009,0.4892904758453369,0.8525771432562586,0.5705070495605469,0.8321031055308685,0.5374844074249268,0.814906724918327,0.8844833374023438,0.8453367752779672,0.6205203533172607,0.8310017789261285,0.5595602989196777,1.0,0.30725693702697754,203,0.20006561279296875,0.0,0.28166651725769043,0.03015221221950021,0.01024770736694336,26.864844195405976,0.001434326171875,0.014319584667528073,0.8195178508758545,0,0,203,90,[]
figure_ascending_markersize110_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,110,0.8790230380251923,0.5202007293701172,0.8666377478750311,0.5103399753570557,0.9014258762086333,1.0276281833648682,0.8540592973172043,0.5781500339508057,0.8502614665926184,0.6730186939239502,0.8212996721774745,0.5683236122131348,0.7967970254397929,0.5661740303039551,0.7888385356441293,0.9471926689147949,0.8075521286386502,0.5985236167907715,0.7916836494057972,0.46896910667419434,0.7706902636420303,0.6600675582885742,0.7373734704353432,0.5762753486633301,0.7012526626063056,0.9630722999572754,0.7658484182725377,0.5819876194000244,0.7406569157331113,0.5993871688842773,1.0,0.35557031631469727,691,0.3784644603729248,0.0,0.23411083221435547,0.03015221221950021,0.009899377822875977,26.864844195405976,0.0015192031860351562,0.018870933782577575,0.8288567066192627,0,0,691,298,[]
figure_ascending_markersize160_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,160,0.8568657024094049,0.5487816333770752,0.8377855621666515,0.6842494010925293,0.8696216866479816,1.020866870880127,0.8312123155816158,0.6690528392791748,0.8233662861412709,0.5478231906890869,0.786050922534087,0.7140164375305176,0.7554513157432657,0.7277853488922119,0.7395681705412683,0.9166982173919678,0.773196937008747,0.7254493236541748,0.753044670503274,0.5608892440795898,0.7260474794165263,0.7279443740844727,0.687851950736017,0.7212009429931641,0.6433534792950906,0.9204130172729492,0.722751687376032,0.7688698768615723,0.6937898481296674,0.7477178573608398,1.0,0.2813687324523926,1285,0.4415717124938965,0.0,0.4525127410888672,0.03015221221950021,0.009706497192382812,26.864844195405976,0.0014224052429199219,0.021192639235793093,0.77840256690979,0,0,1285,547,[]
figure_descending_markersize10_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,10,0.9773154998504114,0.7529048919677734,0.9878313423020395,0.7206509113311768,1.0045839477634972,0.9186367988586426,0.9710746932108275,0.6951465606689453,0.9779115748208907,0.7167253494262695,0.9773154998504114,0.592249870300293,0.9878313423020395,0.6169486045837402,1.0045839477634972,1.0851531028747559,0.9710746932108275,0.7512197494506836,0.9779115748208907,0.6024725437164307,0.9773154998504114,0.7644367218017578,0.9878313423020395,0.5927081108093262,1.0045839477634972,0.9289164543151855,0.9710746932108275,0.6322391033172607,0.9779115748208907,0.6583139896392822,1.0,0.2974240779876709,2,0.5027806758880615,0.0,0.5008442401885986,0.030152212219500207,0.010038375854492188,26.86484419540598,0.0014677047729492188,0.003553345272593507,0.6431593894958496,0,0,2,2,[]
figure_descending_markersize60_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,60,0.8478858720161226,0.6583032608032227,0.9060003676444255,0.6512308120727539,1.028307478446318,0.962106466293335,0.8248108234311812,0.6392807960510254,0.8603817464797653,0.8680403232574463,0.816116198140431,0.45761775970458984,0.8619937855408083,0.8017058372497559,0.948634344025015,0.9987716674804688,0.7994244763720186,0.6452674865722656,0.825861960461755,0.8570752143859863,0.7866413138170402,0.6696696281433105,0.8220641825981458,0.47271203994750977,0.8804195479081808,1.1993513107299805,0.7755541696841416,0.6968564987182617,0.7940052956553117,0.6860315799713135,1.0,0.5430653095245361,203,0.3206174373626709,0.0,0.32879638671875,0.030152212219500207,0.009774923324584961,26.86484419540598,0.001466989517211914,0.01431958466752807,0.7167167663574219,0,0,203,90,[]
figure_descending_markersize110_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,110,0.7759946519369042,0.9378139972686768,0.8478863761816982,0.7409400939941406,1.0077302838020432,1.0629589557647705,0.7522129269873322,0.5022003650665283,0.794643216540726,0.7235777378082275,0.7278933153996888,0.9690971374511719,0.7806445527333961,0.5176105499267578,0.8789634817372953,1.3378851413726807,0.7131587350119157,0.7692685127258301,0.742085213840987,0.5160524845123291,0.6854071950727862,0.7589638233184814,0.7232843236288823,1.009216547012329,0.7793756182200855,0.8450970649719238,0.6779597011096725,0.7773418426513672,0.6960483151837162,0.7689988613128662,1.0,0.6333310604095459,691,0.36316704750061035,0.0,0.35463786125183105,0.030152212219500207,0.009630441665649414,26.86484419540598,0.0014057159423828125,0.01887093378257757,1.0502352714538574,0,0,691,298,[]
figure_descending_markersize160_n100-d5-c5-spr0.2-out0_tsne.png,n100-d5-c5-spr0.2-out0_tsne,100,5,160,0.7397340255992481,0.5331203937530518,0.8165176660972822,0.5139544010162354,0.9904955683138147,1.0749952793121338,0.7167332787164622,0.7859025001525879,0.7609233321139057,0.7579538822174072,0.6829096012421616,0.7813704013824463,0.7377480948425306,0.7838318347930908,0.83832255399112,1.3730227947235107,0.6697830085957225,0.5347654819488525,0.6989452772166478,0.813422679901123,0.6341925924895164,0.8316652774810791,0.6728392044883773,0.5617671012878418,0.7266803228542646,1.1323671340942383,0.6286056214125959,0.815892219543457,0.6463031630517271,0.8370711803436279,1.0,0.3920571804046631,1285,0.3931753635406494,0.0,0.6711370944976807,0.030152212219500207,0.009572505950927734,26.86484419540598,0.0014939308166503906,0.021192639235793093,0.871870756149292,0,0,1285,547,[]
figure_category_based_markersize10_ms_interleaved_60_120_3d_25_centeredClusters_tsne.png,ms_interleaved_60_120_3d_25_centeredClusters_tsne,292,3,10,1.0,0.5359354019165039,1.0,0.8083615303039551,1.0,1.0342960357666016,1.0,0.5439040660858154,1.0,0.8498196601867676,1.0,0.8762271404266357,1.0,0.5651278495788574,1.0,1.0939652919769287,1.0,0.8459515571594238,1.0,0.842104434967041,1.0,0.5480213165283203,1.0,0.851254940032959,1.0,0.7591288089752197,1.0,0.8549580574035645,1.0,0.5689857006072998,1.0,0.7255673408508301,0,0.41968703269958496,0.0,0.42494845390319824,0.030343663170170558,0.024636030197143555,15.778137569543567,0.002933025360107422,0.0,4.102281332015991,0,0,0,0,[]
