Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_category_basedmarkersize10_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,10,0.9659680388908388,1.0237977504730225,0.9512210303200707,1.1438767910003662,0.9230941954990612,1.3104252815246582,0.9754863968619671,1.116194248199463,0.9717257158351787,0.9757988452911377,0.9933920704845814,0.5255069732666016,384,0.5327882766723633,0.0,0.3399975299835205,0.030506012284361873,0.2702748775482178,10.31729114196365,0.016097545623779297,-,15,1,0,[]
figure_category_basedmarkersize60_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,60,0.8105118828682738,0.9993927478790283,0.7967694722161918,1.314803123474121,0.7795824353358368,1.4324519634246826,0.8631607684830337,1.2804510593414307,0.865412231427644,1.1784026622772217,0.8766519823788547,0.8253812789916992,6127,0.540297269821167,0.0,0.4444599151611328,0.030506012284361873,0.09840846061706543,10.31729114196365,0.014129638671875,-,15,18,0,[]
figure_category_basedmarkersize100_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,100,0.6905738450689489,1.3514814376831055,0.6952325305944755,1.4538123607635498,0.7372213319308945,3.919252395629883,0.7750070286780225,2.300976037979126,0.7866774253437778,1.0018310546875,0.8149779735682819,0.7036533355712891,11749,0.40648722648620605,0.0,0.5500094890594482,0.030506012284361873,0.09835505485534668,10.31729114196365,0.008153915405273438,-,15,40,0,[]
figure_category_basedmarkersize150_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,150,0.5241143916306996,1.2388927936553955,0.5421018424193861,1.0897300243377686,0.6841926796010223,1.0495474338531494,0.6365993708392212,1.3457756042480469,0.6602017101291742,0.9910764694213867,0.7400881057268722,0.7703990936279297,23022,0.4332907199859619,0.0,0.5718622207641602,0.030506012284361873,0.09690213203430176,10.31729114196365,0.009878158569335938,-,15,62,0,[]
figure_ascendingmarkersize10_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,10,0.9666299915531581,1.2808499336242676,0.9513371413801195,1.1746556758880615,0.9227150072050528,1.211489200592041,0.9758600201940577,0.8676035404205322,0.9718465290308957,1.0512769222259521,0.9933920704845814,0.5483419895172119,384,0.44530606269836426,0.0,0.5631086826324463,0.030506012284361873,0.1017913818359375,10.317291141963649,0.00801396369934082,-,15,1,0,[]
figure_ascendingmarkersize60_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,60,0.85604278832965,0.8596696853637695,0.8261425753780071,1.4385437965393066,0.7545098098704759,1.437748670578003,0.8792957786970859,1.0020473003387451,0.8697842391796754,1.0569019317626953,0.8766519823788547,0.813718318939209,6127,0.4252450466156006,0.0,0.6703076362609863,0.030506012284361873,0.10500955581665039,10.317291141963649,0.007010936737060547,-,15,2,0,[]
figure_ascendingmarkersize100_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,100,0.7832361402949506,1.3223910331726074,0.7562311605610639,0.9569916725158691,0.6791200382665606,1.635772705078125,0.8048081046267315,1.1510634422302246,0.7946935623620202,1.1830742359161377,0.8149779735682819,0.6254849433898926,11749,0.7756490707397461,0.0,0.4483489990234375,0.030506012284361873,0.1117696762084961,10.317291141963649,0.010118961334228516,-,15,2,0,[]
figure_ascendingmarkersize150_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,150,0.6697768896675198,1.2751364707946777,0.6454546274340482,1.4713389873504639,0.5644364622707905,1.4966583251953125,0.6812650826582021,1.0694599151611328,0.6703810975987696,1.2827184200286865,0.7400881057268722,0.9045894145965576,23022,0.5510749816894531,0.0,0.6669538021087646,0.030506012284361873,0.09792876243591309,10.317291141963649,0.007655143737792969,-,15,5,0,[]
figure_descendingmarkersize10_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,10,0.9653254236445505,1.1121370792388916,0.9510545299057437,1.1127839088439941,0.9234368765216228,1.3322856426239014,0.9751658891675885,1.203977346420288,0.9716167013099164,1.3685715198516846,0.9933920704845814,0.463315486907959,384,0.4224674701690674,0.0,0.7234320640563965,0.030506012284361873,0.1210792064666748,10.317291141963649,0.008106708526611328,-,15,1,0,[]
figure_descendingmarkersize60_breast-cancer-wisconsin_pca,breast-cancer-wisconsin_pca,454,2,60,0.7946551541638822,1.035315990447998,0.7919513216128611,1.2226457595825195,0.8086214165509118,1.5872666835784912,0.8359586364241176,1.1793546676635742,0.8440988086887926,1.1609008312225342,0.8766519823788547,0.9770827293395996,6127,0.5891337394714355,0.0,0.516298770904541,0.030506012284361873,0.1112823486328125,10.317291141963649,0.010718822479248047,-,15,1,0,[]
