Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance_10_0,M_distance_10_0_time,M_distance_10_5,M_distance_10_5_time,M_distance_10_10,M_distance_10_10_time,LOF Distance_10_0,LOF Distance_10_0 Calculation Time,LOF Distance_10_5,LOF Distance_10_5 Calculation Time,LOF Distance_10_10,LOF Distance_10_10 Calculation Time,Isolation Forest Distance_10_0,Isolation Forest Distance_10_0 Calculation Time,Isolation Forest Distance_10_5,Isolation Forest Distance_10_5 Calculation Time,Isolation Forest Distance_10_10,Isolation Forest Distance_10_10 Calculation Time,Centroid Distance_10_0,Centroid Distance_10_0 Calculation Time,Centroid Distance_10_5,Centroid Distance_10_5 Calculation Time,Centroid Distance_10_10,Centroid Distance_10_10 Calculation Time,Average Linkage Method Distance_10_0,Average Linkage Method Distance_10_0 Calculation Time,Average Linkage Method Distance_10_5,Average Linkage Method Distance_10_5 Calculation Time,Average Linkage Method Distance_10_10,Average Linkage Method Distance_10_10 Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,No. Covered Pixels,No. Covered Pixels by Different Classes,Categories Covered Data Points by Different Classes
figure_category_based_markersize10_boston_umap.png,boston_umap,155,3,10,0.7502676289330151,1.2334709167480469,0.5543516530399144,1.472773790359497,0.4394624427640359,1.2580454349517822,0.7887638924389488,2.4812889099121094,0.5750836701148538,1.8964319229125977,0.4524996822458436,1.86895751953125,1.0193297354949507,2.3648767471313477,0.6561348054311315,2.440995216369629,0.4790809619666383,1.8679370880126953,0.7270947634479155,1.3719151020050049,0.5281651445255162,1.6722850799560547,0.41500009505634206,1.393303394317627,0.7419385044861752,1.8468654155731201,0.5407913483157677,1.4236905574798584,0.42559776383284353,1.6700432300567627,0.9870967741935484,0.6803638935089111,275,0.8038017749786377,0.0,1.0016579627990723,0.025427920527121076,0.09834623336791992,4.452789088397461,0.008501291275024414,0.028627667733609394,11.428205251693726,2,0,275,60,[]
figure_category_based_markersize10_interleaved_100_200_5d_0_notcramped_notrotated_pca.png,interleaved_100_200_5d_0_notcramped_notrotated_pca,741,5,10,0.9045560461051383,1.6155281066894531,0.8169534595377387,1.827575445175171,0.7447989143610276,1.5561695098876953,0.9109271910377438,1.8634376525878906,0.8040540177270673,1.6024158000946045,0.7196320315467797,1.5995042324066162,0.9311805892100081,3.168703317642212,0.7855047074942845,2.4659619331359863,0.6789480382513741,2.900378465652466,0.9086273767100064,1.365149736404419,0.8202571545711571,1.3218286037445068,0.7473110333902659,1.4056835174560547,0.9129688434310826,1.6281812191009521,0.8100926663436577,1.6740005016326904,0.7279675635483986,1.4436399936676025,0.9946018893387314,0.9652783870697021,460,0.6244776248931885,0.0,0.8709664344787598,0.030779786547281206,0.4934394359588623,8.86952940976872,0.027050256729125977,-,15,3,0,460,106,[]
figure_category_based_markersize10_fisheries_clusteredByEscapementTarget_umap.png,fisheries_clusteredByEscapementTarget_umap,121,11,10,0.7756153024850944,1.3375773429870605,0.7671015277553312,1.564821720123291,0.7587726316692895,1.4170355796813965,0.8227353173741363,3.424633264541626,0.8086761502950536,4.293131589889526,0.7950894054955865,3.935312271118164,0.8848970347976749,3.138268232345581,0.8475528532313892,3.656604528427124,0.8132330168626732,3.6714072227478027,0.7317723424090113,1.6842067241668701,0.7214296622321992,1.2294375896453857,0.7113752689920052,1.7850074768066406,0.764072682198847,1.7052619457244873,0.7544143891506337,1.5537521839141846,0.7449972202853457,1.6265418529510498,1.0,0.8820705413818359,49,0.7454869747161865,0.0,1.0375547409057617,0.028664147217654,0.07507205009460449,7.1747235346287255,0.011997699737548828,0.015104092452558247,9.013312339782715,0,0,49,41,[]
figure_category_based_markersize10_interleaved_100_200_5d_25_cramped_rotated_tsne.png,interleaved_100_200_5d_25_cramped_rotated_tsne,696,5,10,0.9924672835454229,1.6461610794067383,0.9165636686712229,1.5013489723205566,0.851301524982427,1.6078953742980957,0.9943906156239422,1.7690138816833496,0.9135604095633347,2.216140031814575,0.8447295090422329,2.147416114807129,0.9961570114341005,2.511044502258301,0.9022824085136185,2.732935905456543,0.8251388779505363,2.647141933441162,0.9922912768563154,1.9465467929840088,0.9139784694626959,1.7977960109710693,0.8469885432194968,1.7890598773956299,0.9937744547604197,1.8023834228515625,0.9116465008493552,1.5436456203460693,0.8419776358764083,1.6318843364715576,1.0,0.9129440784454346,210,0.6071019172668457,0.0,0.9614396095275879,0.0303795589546178,0.28772521018981934,7.389902403027343,0.044658660888671875,-,15,0,0,210,6,[]
figure_category_based_markersize10_bbdm13_tsne.png,bbdm13_tsne,200,5,10,0.9718508028241468,1.2452917098999023,0.9486351959262894,1.7496182918548584,0.9261821152856388,1.3924705982208252,0.9786516874284713,2.827258825302124,0.9548384519019052,3.2975330352783203,0.9321641879141269,2.5329818725585938,1.0151773041293126,2.3664915561676025,0.9855379509002236,3.0462324619293213,0.9594044657288958,2.46763277053833,0.9685407303181534,1.5822172164916992,0.9525946930916327,1.473515510559082,0.9370550000801247,1.6218643188476562,0.973886589640747,1.8893496990203857,0.9562321742455142,1.5001022815704346,0.9391386981182667,1.7988476753234863,1.0,0.9645373821258545,21,0.8222146034240723,0.0,0.6541748046875,0.03003321943094494,0.1873931884765625,13.129235521858446,0.008001565933227539,-,15,0,0,21,6,[]
figure_category_based_markersize10_interleaved_100_200_4d_0_notcramped_notrotated_umap.png,interleaved_100_200_4d_0_notcramped_notrotated_umap,1254,4,10,0.9224612819116673,1.3594436645507812,0.4985783538981956,1.699399471282959,0.34135813624671074,1.3791124820709229,0.9427255289275852,2.129927635192871,0.5197281297190022,2.073033571243286,0.3586911112806135,2.0839827060699463,1.0003304189257638,2.3771655559539795,0.5107181921231185,2.7988507747650146,0.3441323998708219,2.384392023086548,0.9386034477194878,2.013424873352051,0.4976990148316697,1.7686057090759277,0.33835062905610935,1.4872441291809082,0.9442305524151128,1.7150990962982178,0.5115150191352161,1.7302491664886475,0.3506402025722405,1.3730106353759766,0.9330143540669856,1.1239292621612549,2928,1.041595220565796,0.0,0.8057353496551514,0.030051353793689582,0.5565798282623291,3.737830429800121,0.053476810455322266,-,15,83,1,2928,79,"[{""category"": 2, ""number"": 1}]"
figure_category_based_markersize10_grid10_3d_pca.png,grid10_3d_pca,1000,8,10,0.0909090909090926,1.3885829448699951,0.06250000000000044,1.9201469421386719,0.04761904761904856,1.6539161205291748,0.09067177363674672,1.6994898319244385,0.062363132864693194,2.0907862186431885,0.04756864852644882,1.6491010189056396,0.09090909090909116,3.347719430923462,0.06249999999999978,3.1730475425720215,0.04761904761904767,3.1256651878356934,0.09090909090908939,1.9267044067382812,0.06250000000000067,1.5264015197753906,0.047619047619046895,1.83603835105896,0.09090909090909072,1.5162582397460938,0.06250000000000078,1.5489625930786133,0.04761904761904756,1.847154140472412,0.0,0.7127323150634766,1600,0.6338160037994385,1.0,1.2492613792419434,0.025720548328405767,0.535881519317627,1.1747524546989954e-14,0.036364078521728516,-,15,998,500,1600,1600,"[{""category"": 0, ""number"": 125}, {""category"": 2, ""number"": 125}, {""category"": 4, ""number"": 125}, {""category"": 6, ""number"": 125}]"
figure_category_based_markersize10_grid6_3d_umap.png,grid6_3d_umap,216,8,10,1.0,1.6565332412719727,0.9520586119813376,1.557054042816162,0.9079426876938975,1.616140365600586,1.0,3.2349627017974854,0.9605096176018895,3.104957342147827,0.9240227771796663,3.9186031818389893,1.0,3.4539802074432373,0.9543307459047203,3.015244483947754,0.9127385670392986,2.783148765563965,1.0,1.8937034606933594,0.9582314497119271,1.5617790222167969,0.9196695044458425,1.7061793804168701,1.0,1.3078343868255615,0.9597963884206018,1.7335445880889893,0.9226191861426338,1.517998456954956,1.0,1.007903814315796,29,0.5499579906463623,0.0,0.5669617652893066,0.029975761693702127,0.669809103012085,13.346525175729688,0.019060850143432617,-,15,0,0,29,0,[]
figure_category_based_markersize10_interleaved_100_200_10d_0_notcramped_notrotated_umap.png,interleaved_100_200_10d_0_notcramped_notrotated_umap,1490,10,10,0.7970200277957615,1.4009675979614258,0.23339664099737156,1.7761390209197998,0.136269698758135,1.9208922386169434,0.8307109487635074,1.6836183071136475,0.23879913684386533,3.0979390144348145,0.13919026578288995,2.1791584491729736,1.006004217592888,3.6727547645568848,0.20781288280045818,4.222123622894287,0.11944896809492123,3.8719658851623535,0.764340798108051,1.5457992553710938,0.22895145858118227,1.6810991764068604,0.13478561633422514,1.525001049041748,0.79794329711992,1.9143333435058594,0.23236265633313624,1.688995361328125,0.13593424522065567,1.418870449066162,0.4597315436241611,0.9245812892913818,6004,0.8622713088989258,0.026845637583892617,1.023411750793457,0.029283314987257836,0.78192138671875,1.2943986971544175,0.058074235916137695,-,15,783,3,6004,153,"[{""category"": 2, ""number"": 2}, {""category"": 6, ""number"": 1}]"
figure_category_based_markersize10_ecoliproteins_pca.png,ecoliproteins_pca,332,8,10,0.9394028440416582,2.676534652709961,0.882942156793992,2.1641876697540283,0.8327596293771402,2.22507381439209,0.9454748471525375,2.367418050765991,0.8791067511801104,3.0951671600341797,0.8214221003694111,3.50439453125,0.9905394037162828,4.30988883972168,0.8818202215227138,4.146532297134399,0.7947255491731811,3.647183656692505,0.9145011855464762,2.438297748565674,0.8638329548714578,2.343801736831665,0.818344297664541,2.051949977874756,0.9146522627325925,1.9522569179534912,0.858236068485822,1.9111568927764893,0.808336878079809,2.186573028564453,0.9879518072289156,0.8749005794525146,116,0.7137637138366699,0.0,0.894341230392456,0.03065509375481306,0.150895357131958,12.996439754748357,0.025502443313598633,-,15,4,0,116,23,[]
