ScatterplotName,DatasetName,TotalPoints,NumClasses,MarkerSize,M_Dist_10_0,M_Dist_10_0_time,LOF_Dist_10_0,LOF_Dist_10_0_time,IsolationForest_Dist_10_0,IsolationForest_Dist_10_0_time,Centroid_Dist_10_0,Centroid_Dist_10_0_time,AvgLinkage_Dist_10_0,AvgLinkage_Dist_10_0_time,M_Dist_10_5,M_Dist_10_5_time,LOF_Dist_10_5,LOF_Dist_10_5_time,IsolationForest_Dist_10_5,IsolationForest_Dist_10_5_time,Centroid_Dist_10_5,Centroid_Dist_10_5_time,AvgLinkage_Dist_10_5,AvgLinkage_Dist_10_5_time,M_Dist_10_10,M_Dist_10_10_time,LOF_Dist_10_10,LOF_Dist_10_10_time,IsolationForest_Dist_10_10,IsolationForest_Dist_10_10_time,Centroid_Dist_10_10,Centroid_Dist_10_10_time,AvgLinkage_Dist_10_10,AvgLinkage_Dist_10_10_time,VisibilityIndex,VisibilityIndex_time,MPix,MPix_time,GridOverlap,GridOverlap_time,KDEOverlap,KDEOverlap_time,NNDistance,NNDistance_time,PBBOverlap,PBBOverlap_time,CoveredVals,CoveredValsDiffClasses,CoveredPixels,CoveredPixelsDiffClasses,CoveredValuesDiffJSON,Shape,ClusterCorrelation
figure_category_based_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.7140151234813574,0.6837115287780762,0.6636927514887663,0.6092855930328369,0.7236010092207141,1.213550329208374,0.790058262704047,0.7064743041992188,0.7892875011418242,0.6422042846679688,0.4741806239297148,0.6772394180297852,0.4540610563178471,0.6575801372528076,0.4326384690335932,1.0897769927978516,0.5600311698796103,0.5826454162597656,0.5368375356641188,0.7788424491882324,0.3549533685100898,0.7445733547210693,0.345068814876448,0.5841021537780762,0.3085638479749591,1.0662024021148682,0.4337453240919949,0.6999111175537109,0.4067427452892226,0.6903927326202393,0.919,0.6742961406707764,2678,0.3585586547851562,0.0,0.801112174987793,0.0303483365105338,0.12032151222229,3.971050423316664,0.010171890258789,-,15.0,80,3,3498,760,"[{""category"": ""group_0"", ""number"": 3}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.4959114566051479,0.8485369682312012,0.4046641669537162,1.0397017002105713,0.5571702977085706,1.6828618049621582,0.573949710521894,0.93843412399292,0.5858163831653725,0.8145129680633545,0.2733054266869043,0.8374574184417725,0.2385154151236392,0.8358306884765625,0.213253419772633,1.3492586612701416,0.3189313153946896,0.8336284160614014,0.2929497217749129,0.8578169345855713,0.1886318632302109,0.8372595310211182,0.1690897991101467,0.8447103500366211,0.1318612389496113,1.2082321643829346,0.2208173449614471,0.6318984031677246,0.1953090451930051,0.8067491054534912,0.523,0.4919056892395019,20803,0.6385481357574463,0.0,0.434877872467041,0.0303483365105338,0.1200716495513916,3.971050423316664,0.0104000568389892,-,15.0,473,47,59518,18064,"[{""category"": ""group_0"", ""number"": 47}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize110_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,110,0.4292536595940982,0.8617353439331055,0.3217170522196136,0.8650362491607666,0.5193091779024912,1.3822929859161377,0.4974299441981884,0.8590195178985596,0.5111270254010953,1.3180201053619385,0.2315854806963909,1.0815107822418213,0.1959713910829232,1.175140619277954,0.1766196675050305,1.5341835021972656,0.2670181463013238,1.011333465576172,0.2478246597860449,0.9913582801818848,0.1585666808751356,1.003652811050415,0.1408996467787698,1.0350279808044434,0.1064041228581701,1.4997787475585938,0.1824886014812062,1.010707139968872,0.1635654362385088,1.1783030033111572,0.369,0.3806641101837158,33809,0.5067317485809326,0.0,0.4668326377868652,0.0303483365105338,0.1181504726409912,3.971050423316664,0.0100147724151611,-,15.0,624,76,141038,46166,"[{""category"": ""group_0"", ""number"": 75}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize160_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,160,0.3928673434752848,0.8942553997039795,0.28734827069435,0.954033374786377,0.4844216665273982,1.5378055572509766,0.4585262939738436,0.8978750705718994,0.4702973776824102,0.8820738792419434,0.2132668054946221,1.0259230136871338,0.1808257236027083,1.33453369140625,0.1602728306708438,1.7996573448181152,0.2472242367341549,1.5358548164367676,0.2311474068155791,0.9911627769470216,0.146358539998856,1.0573396682739258,0.1319213219866551,1.191948652267456,0.0960208559472877,1.5183563232421875,0.1692356151316243,1.19364595413208,0.1532291571823517,1.0158984661102295,0.284,0.4444687366485595,42542,0.6604328155517578,0.0,0.6042943000793457,0.0303483365105338,0.1218390464782714,3.971050423316664,0.0102989673614501,-,15.0,708,144,225035,76691,"[{""category"": ""group_0"", ""number"": 143}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.8122637360733779,0.732109785079956,0.7524253698782535,0.7227599620819092,0.6225561612994521,1.19480562210083,0.8458249399753205,1.1402664184570312,0.8161275998826893,0.7345116138458252,0.5173634094935441,0.7401895523071289,0.4944270380678326,0.911024808883667,0.3781184624041827,1.2472469806671145,0.5902862680214032,1.2632813453674316,0.5514832885588048,0.6633734703063965,0.3795603109586428,1.5148625373840332,0.3681816315019718,1.15822172164917,0.2715128552558964,1.3797879219055176,0.4533278944479401,0.8605520725250244,0.4164437731958068,1.1033544540405271,0.919,0.4419012069702148,2678,0.6803300380706787,0.0,0.4108326435089111,0.0303483365105338,0.1244809627532959,3.971050423316664,0.0108814239501953,-,15.0,81,3,3498,760,"[{""category"": ""group_0"", ""number"": 3}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.6484096147888175,0.9299001693725586,0.6082926843870698,1.2504746913909912,0.4089315673948845,1.855318546295166,0.7157620103262221,0.8942768573760986,0.6770261256987877,0.8923063278198242,0.3235652809211463,0.6615805625915527,0.30967038052577,1.3359315395355225,0.1768673231791451,1.2124040126800537,0.3733923929847057,1.0983903408050537,0.3223881056085704,0.6739270687103271,0.2155684438277773,1.0994470119476318,0.2077043928990615,1.191096305847168,0.1128347960758905,1.4484238624572754,0.2525773569705397,0.994138479232788,0.211566109961701,0.9863429069519044,0.523,0.8005809783935547,20803,0.4633197784423828,0.0,0.7328140735626221,0.0303483365105338,0.1195523738861084,3.971050423316664,0.0103158950805664,-,15.0,473,46,59518,18244,"[{""category"": ""group_0"", ""number"": 46}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize110_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,110,0.6065967112870718,0.9955227375030518,0.5893754151740178,1.107208490371704,0.3456940496030373,1.2474424839019775,0.684695569664975,1.2283401489257812,0.6423070886029901,0.9139964580535888,0.2927538394487503,1.1942288875579834,0.2934373202746259,1.018672227859497,0.1399043830274855,1.5350472927093506,0.334888754543185,1.0464131832122805,0.2877995678724701,0.9952867031097412,0.1929333760541658,1.1441097259521484,0.1953485861184528,0.9892964363098145,0.0876981700586103,1.6690878868103027,0.2216494132235419,1.1274018287658691,0.1854464218426443,1.136160373687744,0.369,0.5474185943603516,33809,0.856231689453125,0.0,0.4888341426849365,0.0303483365105338,0.1248579025268554,3.971050423316664,0.0107862949371337,-,15.0,628,74,141038,47117,"[{""category"": ""group_0"", ""number"": 74}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize160_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,160,0.5777047611438025,1.1629793643951416,0.5761617183281778,1.658289670944214,0.297017183670642,1.7614376544952393,0.6623244560588897,0.8711566925048828,0.6175546918541261,1.116316795349121,0.2800204625186762,1.1416594982147217,0.2922394022376737,0.9264767169952391,0.1198459650673053,1.655839204788208,0.321919977361579,1.162928819656372,0.2774993453509038,1.1534385681152344,0.1847968655873252,0.8474557399749756,0.1957682614934975,1.5884313583374023,0.0750678651098971,2.209979772567749,0.2126352062956521,1.109147071838379,0.1789570032096403,1.24928879737854,0.284,0.5859260559082031,42542,0.9389321804046632,0.0,0.5149693489074707,0.0303483365105338,0.1263997554779052,3.971050423316664,0.0117359161376953,-,15.0,714,141,225035,79146,"[{""category"": ""group_0"", ""number"": 141}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_descending_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.6200685116636957,0.9684338569641112,0.5452713555775122,0.8541395664215088,0.7529794035746566,1.560955047607422,0.5631716177060822,1.5028953552246094,0.5876205370710188,0.684483528137207,0.4189974799156668,0.9946882724761964,0.3846627946466702,0.6957437992095947,0.447939265479237,1.5541167259216309,0.4243813367747951,0.8974165916442871,0.4235225247508348,0.9897234439849854,0.3163982855857645,1.0163791179656982,0.2971406305405802,0.702664852142334,0.3187928272343807,1.5058417320251465,0.3404736416886312,1.4586577415466309,0.3310687672365052,0.7503910064697266,0.919,0.8062093257904053,2678,0.6614274978637695,0.0,0.849609375,0.0303483365105338,0.125948429107666,3.971050423316664,0.011343240737915,-,15.0,81,7,3498,545,"[{""category"": ""group_4"", ""number"": 7}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_descending_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.33712714253368,0.7536337375640869,0.2402680010865699,0.8153467178344727,0.707385667300741,1.872392177581787,0.2747998613316676,1.1033837795257568,0.3153398454572848,0.8478314876556396,0.2016852074432443,0.8460879325866699,0.1586909326638252,1.6863672733306885,0.2418607860654249,1.8241920471191408,0.1849235611138625,0.8084383010864258,0.1934689049077697,1.131251335144043,0.1438806745851785,0.7968053817749023,0.1184680356913088,0.9573736190795898,0.1458669237465,1.6417882442474363,0.139348206186913,0.800445556640625,0.1395401406530183,1.1416730880737305,0.523,0.571589469909668,20803,0.5774257183074951,0.0,0.9145236015319824,0.0303483365105338,0.1275832653045654,3.971050423316664,0.0109882354736328,-,15.0,475,45,59518,6860,"[{""category"": ""group_2"", ""number"": 4}, {""category"": ""group_0"", ""number"": 1}, {""category"": ""group_3"", ""number"": 1}, {""category"": ""group_4"", ""number"": 39}]","['lip_cluster','cluster']","['intersecting', 'separated']"
