ScatterplotName,DatasetName,TotalPoints,NumClasses,MarkerSize,M_Dist_10_0,M_Dist_10_0_time,LOF_Dist_10_0,LOF_Dist_10_0_time,IsolationForest_Dist_10_0,IsolationForest_Dist_10_0_time,Centroid_Dist_10_0,Centroid_Dist_10_0_time,AvgLinkage_Dist_10_0,AvgLinkage_Dist_10_0_time,M_Dist_10_5,M_Dist_10_5_time,LOF_Dist_10_5,LOF_Dist_10_5_time,IsolationForest_Dist_10_5,IsolationForest_Dist_10_5_time,Centroid_Dist_10_5,Centroid_Dist_10_5_time,AvgLinkage_Dist_10_5,AvgLinkage_Dist_10_5_time,M_Dist_10_10,M_Dist_10_10_time,LOF_Dist_10_10,LOF_Dist_10_10_time,IsolationForest_Dist_10_10,IsolationForest_Dist_10_10_time,Centroid_Dist_10_10,Centroid_Dist_10_10_time,AvgLinkage_Dist_10_10,AvgLinkage_Dist_10_10_time,VisibilityIndex,VisibilityIndex_time,MPix,MPix_time,GridOverlap,GridOverlap_time,KDEOverlap,KDEOverlap_time,NNDistance,NNDistance_time,PBBOverlap,PBBOverlap_time,DistanceConsistency,DistanceConsistency_time,CoveredVals,CoveredValsDiffClasses,CoveredPixelsDiffClasses,CoveredValuesDiffJSON,Shape,ClusterCorrelation
figure_category_based_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.7140151234813574,0.5956988334655762,0.6636927514887663,0.5502886772155762,0.7236010092207141,1.0259792804718018,0.790058262704047,0.5902299880981445,0.7892875011418242,0.5107738971710205,0.4741806239297148,0.5274684429168701,0.4540610563178471,0.5171546936035156,0.4326384690335932,1.081928253173828,0.5600311698796103,0.538996696472168,0.5368375356641188,0.6171085834503174,0.3549533685100898,0.5887458324432373,0.345068814876448,0.5918586254119873,0.3085638479749591,0.9507272243499756,0.4337453240919949,0.6952822208404541,0.4067427452892226,0.5695219039916992,0.919,0.3561298847198486,2678,0.3481132984161377,0.0,0.3239648342132568,0.0303483365105338,0.108689546585083,3.971050423316664,0.0093884468078613,-,15.0,0.131,0.0060815811157226,1000,26,11,"[{""category"": ""group_0"", ""number"": 25}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.4959114566051479,0.6067278385162354,0.4046641669537162,0.6614351272583008,0.5571702977085706,1.026872158050537,0.573949710521894,0.8519153594970703,0.5858163831653725,0.7151892185211182,0.2733054266869043,0.7375304698944092,0.2385154151236392,0.8178730010986328,0.213253419772633,1.0979492664337158,0.3189313153946896,0.7867434024810791,0.2929497217749129,0.7016952037811279,0.1886318632302109,0.7606470584869385,0.1690897991101467,0.6652729511260986,0.1318612389496113,1.2959480285644531,0.2208173449614471,0.7802677154541016,0.1953090451930051,0.797696590423584,0.523,0.4616868495941162,20803,0.4272911548614502,0.0,0.2631118297576904,0.0303483365105338,0.1098926067352294,3.971050423316664,0.0096690654754638,-,15.0,0.131,0.0057508945465087,447,86,353,"[{""category"": ""group_0"", ""number"": 86}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize110_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,110,0.4292536595940982,0.6330313682556152,0.3217170522196136,0.980504274368286,0.5193091779024912,1.1595370769500732,0.4974299441981884,0.837080717086792,0.5111270254010953,0.8845956325531006,0.2315854806963909,0.7761938571929932,0.1959713910829232,0.8687314987182617,0.1766196675050305,1.3259575366973877,0.2670181463013238,0.895343542098999,0.2478246597860449,0.8946738243103027,0.1585666808751356,0.9154055118560792,0.1408996467787698,0.8924858570098877,0.1064041228581701,1.5510683059692385,0.1824886014812062,0.7822210788726807,0.1635654362385088,0.9226038455963136,0.369,0.366410493850708,33809,0.5129776000976562,0.0,0.4601900577545166,0.0303483365105338,0.1098136901855468,3.971050423316664,0.0095455646514892,-,15.0,0.131,0.0058550834655761,543,145,834,"[{""category"": ""group_0"", ""number"": 144}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_category_based_markersize160_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,160,0.3928673434752848,0.5387582778930664,0.28734827069435,1.0076518058776855,0.4844216665273982,1.400071620941162,0.4585262939738436,1.009654521942139,0.4702973776824102,0.856525182723999,0.2132668054946221,0.8886442184448242,0.1808257236027083,1.0346856117248535,0.1602728306708438,1.3530311584472656,0.2472242367341549,0.9225103855133056,0.2311474068155791,1.0345726013183594,0.146358539998856,0.8639223575592041,0.1319213219866551,0.9254937171936036,0.0960208559472877,1.5732965469360352,0.1692356151316243,0.8463222980499268,0.1532291571823517,0.8999733924865723,0.284,0.6096844673156738,42542,0.3868129253387451,0.0,0.5424904823303223,0.0303483365105338,0.1092386245727539,3.971050423316664,0.0094540119171142,-,15.0,0.131,0.0056560039520263,594,155,1297,"[{""category"": ""group_0"", ""number"": 154}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.8122637360733779,0.5482730865478516,0.7524253698782535,0.7508664131164551,0.6225561612994521,1.369245529174805,0.8458249399753205,0.7603120803833008,0.8161275998826893,0.7625608444213867,0.5173634094935441,0.7733986377716064,0.4944270380678326,0.7788958549499512,0.3781184624041827,1.4302525520324707,0.5902862680214032,0.7648792266845703,0.5514832885588048,0.4386003017425537,0.3795603109586428,0.7643697261810303,0.3681816315019718,0.6469392776489258,0.2715128552558964,0.968994140625,0.4533278944479401,0.6303753852844238,0.4164437731958068,0.8148479461669922,0.919,0.3379313945770263,2678,0.5335321426391602,0.0,0.3038017749786377,0.0303483365105338,0.0835950374603271,3.971050423316664,0.0074212551116943,-,15.0,0.131,0.0044832229614257,1000,26,0,"[{""category"": ""group_0"", ""number"": 25}, {""category"": ""group_4"", ""number"": 1}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.6484096147888175,1.1048250198364258,0.6082926843870698,0.8562607765197754,0.4089315673948845,1.2608730792999268,0.7157620103262221,0.6398441791534424,0.6770261256987877,1.101567029953003,0.3235652809211463,0.8831305503845215,0.30967038052577,0.8890061378479004,0.1768673231791451,1.0672111511230469,0.3733923929847057,0.8253917694091797,0.3223881056085704,1.0175166130065918,0.2155684438277773,0.8814888000488281,0.2077043928990615,0.6483612060546875,0.1128347960758905,1.589311122894287,0.2525773569705397,0.6535706520080566,0.211566109961701,1.0924370288848877,0.523,0.4498293399810791,20803,0.4109687805175781,0.0,0.6568715572357178,0.0303483365105338,0.1061012744903564,3.971050423316664,0.0094003677368164,-,15.0,0.131,0.0044441223144531,407,85,98,"[{""category"": ""group_0"", ""number"": 85}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize110_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,110,0.6065967112870718,0.6363303661346436,0.5893754151740178,0.8462865352630615,0.3456940496030373,1.1815288066864014,0.684695569664975,0.8666806221008301,0.6423070886029901,0.6858115196228027,0.2927538394487503,0.9469428062438964,0.2934373202746259,0.8906838893890381,0.1399043830274855,1.2157227993011477,0.334888754543185,1.000544548034668,0.2877995678724701,0.9019386768341064,0.1929333760541658,0.6355459690093994,0.1953485861184528,0.9758367538452148,0.0876981700586103,1.436617374420166,0.2216494132235419,1.0050806999206543,0.1854464218426443,0.7330400943756104,0.369,0.7931828498840332,33809,0.4782135486602783,0.0,0.4504213333129883,0.0303483365105338,0.1086907386779785,3.971050423316664,0.0096561908721923,-,15.0,0.131,0.0058577060699462,457,143,196,"[{""category"": ""group_0"", ""number"": 143}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_ascending_markersize160_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,160,0.5777047611438025,0.5371377468109131,0.5761617183281778,1.0834364891052246,0.297017183670642,1.5094547271728516,0.6623244560588897,0.8183939456939697,0.6175546918541261,1.0634524822235107,0.2800204625186762,1.1295292377471924,0.2922394022376737,1.1432454586029053,0.1198459650673053,1.2811241149902344,0.321919977361579,1.1117925643920898,0.2774993453509038,1.0257244110107422,0.1847968655873252,1.1230828762054443,0.1957682614934975,1.1521649360656738,0.0750678651098971,1.2396385669708252,0.2126352062956521,1.1092593669891355,0.1789570032096403,1.0715548992156982,0.284,0.822840690612793,42542,0.5133528709411621,0.0,0.4752793312072754,0.0303483365105338,0.1002490520477294,3.971050423316664,0.0083644390106201,-,15.0,0.131,0.0056734085083007,494,152,303,"[{""category"": ""group_0"", ""number"": 152}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_descending_markersize10_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,10,0.6200685116636957,0.6587777137756348,0.5452713555775122,0.6164135932922363,0.7529794035746566,1.4080257415771484,0.5631716177060822,0.6572446823120117,0.5876205370710188,0.9841337203979492,0.4189974799156668,0.6852753162384033,0.3846627946466702,1.000837802886963,0.447939265479237,1.1335039138793943,0.4243813367747951,0.981330156326294,0.4235225247508348,0.6625125408172607,0.3163982855857645,0.9990689754486084,0.2971406305405802,0.6672241687774658,0.3187928272343807,1.3886826038360596,0.3404736416886312,0.6707723140716553,0.3310687672365052,0.679032564163208,0.919,0.8496031761169434,2678,0.4792020320892334,0.0,0.4848127365112304,0.0303483365105338,0.1011409759521484,3.971050423316664,0.0107247829437255,-,15.0,0.131,0.0058960914611816,1000,23,59,"[{""category"": ""group_2"", ""number"": 1}, {""category"": ""group_4"", ""number"": 22}]","['lip_cluster','cluster']","['intersecting', 'separated']"
figure_descending_markersize60_clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1.png,clusternumber5_datanumber200_testnumbercategorymedium_repeatnumber1,1000,5,60,0.33712714253368,0.7418925762176514,0.2402680010865699,1.089877367019653,0.707385667300741,1.5116305351257324,0.2747998613316676,0.7471859455108643,0.3153398454572848,1.093881368637085,0.2016852074432443,0.7465023994445801,0.1586909326638252,0.7576825618743896,0.2418607860654249,1.5740742683410645,0.1849235611138625,0.7711334228515625,0.1934689049077697,1.1219367980957031,0.1438806745851785,0.7449102401733398,0.1184680356913088,1.0472867488861084,0.1458669237465,1.1816446781158447,0.139348206186913,1.1132564544677734,0.1395401406530183,0.7521450519561768,0.523,0.5675780773162842,20803,0.946319580078125,0.0,0.5378053188323975,0.0303483365105338,0.1125965118408203,3.971050423316664,0.0099270343780517,-,15.0,0.131,0.0055751800537109,341,51,1064,"[{""category"": ""group_2"", ""number"": 5}, {""category"": ""group_0"", ""number"": 1}, {""category"": ""group_3"", ""number"": 1}, {""category"": ""group_4"", ""number"": 44}]","['lip_cluster','cluster']","['intersecting', 'separated']"
